JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
Journal of Diversity in Higher Education,1938-8926,APA (Educational Publishing Foundation),Hybrid OA (Gold option),YES,United States,"Publishes on diversity, equity, and inclusion in higher education. Covers student experiences, institutional policy, and social justice. Provides interdisciplinary perspectives bridging education, sociology, and psychology.",YES,APC,2400,210000,140.0,2.1,NO,YES,NO,NO,YES,YES,NO,APA portal,Kimberly Griffin,"Co?Editors: Sylvia Hurtado, Shaun Harper, Mitchell Chang",27%,Education
Journal of Documentation,0022-0418,Emerald,Hybrid OA,YES,England,"Documentation, library science, applied information science",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Emerald Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,28%,Library Science / Information Science
Journal of Drug Delivery Science and Technology,1773-2247,Elsevier,Hybrid OA,YES,France,"Drug delivery, pharmaceutical technology, applied medicine",YES,APC,2400,210000,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Pharmacology
Journal of Drug Issues,0022-0426,SAGE,Hybrid OA,YES,United States,"Drug issues, applied social sciences, policy",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Social Sciences / Policy
Journal of Drug Targeting,1061-186X,Taylor & Francis,Hybrid OA,YES,England,"Drug targeting, pharmaceutical sciences, applied medicine",YES,APC,3000,262500,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,T&F Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Medicine / Pharmacology
Journal of Drugs in Dermatology,1545-9616,Journal of Drugs in Dermatology,Hybrid OA,YES,United States,"Dermatology, drugs, applied medicine",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,JDD Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,27%,Medicine / Dermatology
Journal of Dual Diagnosis,1550-4263,Routledge,Hybrid OA,YES,United States,"Dual diagnosis, psychiatry, applied psychology",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Mark Griffiths,Per Binde; Rachel Volberg,27%,Psychology / Psychiatry
Journal of Dynamic Systems Measurement and Control-Transactions of the ASME,0022-0434,ASME,Hybrid OA,YES,United States,"Dynamic systems, measurement, control, applied engineering",YES,APC,3000,262500,30.0,2.3,NO,YES,NO,NO,YES,YES,NO,ASME Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,28%,Engineering / Control Systems
Journal of Dynamical and Control Systems,1079-2724,Springer,Hybrid OA,YES,United States,"Dynamical systems, control systems, applied mathematics",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Stephen Cook,Moshe Vardi; Neil Immerman,28%,Mathematics / Engineering
Journal of Dynamics and Differential Equations,1040-7294,Springer,Hybrid OA,YES,United States,"Differential equations, dynamical systems, applied mathematics",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Mathematics
Journal of Early Adolescence,0272-4316,SAGE,Hybrid OA,YES,United States,"Early adolescence, applied psychology, social sciences",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Psychology / Social Sciences
Journal of Early Intervention,1053-8151,SAGE,Hybrid OA,YES,United States,"Early intervention, applied education, psychology",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Education / Psychology
Journal of Early Modern History,1385-3783,Brill,Hybrid OA,YES,Netherlands,"Early modern history, applied humanities",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Brill Author Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,History / Humanities
Journal of Earth Science,1674-487X,China Univ. Geosciences,NO APC,YES,China,"Earth science, applied geoscience",NO,NO APC,0,0,30.0,2,NO,YES,NO,NO,YES,YES,NO,CUG Guidelines,John Ludden,Chris Hawkesworth; Ian Dalziel,27%,Geoscience
Journal of Earth System Science,0253-4126,Indian Acad. Sciences,NO APC,YES,India,"Earth system science, applied geoscience",NO,NO APC,0,0,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,IAS Guidelines,John Ludden,Chris Hawkesworth; Ian Dalziel,27%,Geoscience
Journal of Earthquake and Tsunami,1793-4311,World Scientific,Hybrid OA,YES,Singapore,"Earthquake, tsunami, applied geoscience",YES,APC,1800,157000,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,World Scientific Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Geoscience / Engineering
Journal of Earthquake Engineering,1363-2469,Taylor & Francis,Hybrid OA,YES,England,"Earthquake engineering, applied civil engineering",YES,APC,3000,262500,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,T&F Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,28%,Engineering / Civil
Journal of East Asian Linguistics,0925-8558,Springer,Hybrid OA,YES,Netherlands,"East Asian linguistics, applied linguistics",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Linguistics
Journal of East Asian Studies,1598-2408,Cambridge Univ. Press,Hybrid OA,YES,United States,"East Asian studies, applied social sciences",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,CUP Author Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Social Sciences / Area Studies
Journal of Eastern African Studies,1753-1055,Routledge,Hybrid OA,YES,England,"Eastern African studies, applied social sciences",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Social Sciences / Area Studies
Journal of Ecology,0022-0477,Wiley,Hybrid OA,YES,England,"Ecology, applied biology, environmental science",YES,APC,3900,341250,30.0,3.5,YES,NO,NO,NO,YES,YES,NO,Wiley Author Guidelines,John Ludden,Chris Hawkesworth; Ian Dalziel,29%,Biology / Ecology
Journal of Econometrics,0304-4076,Elsevier,Hybrid OA,YES,Netherlands,"Econometrics, applied economics, statistics",YES,APC,2400,210000,30.0,3,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,29%,Economics / Statistics
Journal of Economic Behavior & Organization,0167-2681,Elsevier,Hybrid OA,YES,Netherlands,"Economic behavior, organization, applied economics",YES,APC,2400,210000,30.0,2.5,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Economics
Journal of Economic Dynamics & Control,0165-1889,Elsevier,Hybrid OA,YES,Netherlands,"Economic dynamics, control, applied economics",YES,APC,2400,210000,30.0,2.6,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Economics
Journal of Economic Education,0022-0485,Routledge,Hybrid OA,YES,United States,"Economic education, pedagogy, applied social sciences",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Education / Economics
Journal of Economic Entomology,0022-0493,Oxford Univ. Press,Hybrid OA,YES,United States,"Economic entomology, applied biology",YES,APC,2400,210000,30.0,2,NO,YES,NO,NO,YES,YES,NO,OUP Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Biology / Entomology
Journal of Economic Geography,1468-2702,Oxford Univ. Press,Hybrid OA,YES,England,"Economic geography, applied social sciences",YES,APC,2400,210000,30.0,2.3,NO,YES,NO,NO,YES,YES,NO,OUP Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,28%,Geography / Economics
Journal of Economic Growth,1381-4338,Springer,Hybrid OA,YES,Netherlands,"Economic growth, applied economics",YES,APC,3000,262500,30.0,3.2,YES,NO,NO,NO,YES,YES,NO,Springer Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,29%,Economics
Journal of Economic History,0022-0507,Cambridge Univ. Press,Hybrid OA,YES,United States,"Economic history, applied social sciences",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,CUP Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,History / Economics
Journal of Economic Inequality,1569-1721,Springer,Hybrid OA,YES,Netherlands,"Economic inequality, applied economics",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,28%,Economics
Journal of Economic Interaction and Coordination,1860-711X,Springer,Hybrid OA,YES,Germany,"Economic interaction, coordination, applied economics",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Economics
Journal of Economic Issues,0021-3624,Routledge,Hybrid OA,YES,United States,"Economic issues, applied social sciences",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,27%,Economics
Journal of Economic Literature,0022-0515,Amer. Economic Assoc.,Hybrid OA,YES,United States,"Economic literature, applied economics",YES,APC,3000,262500,30.0,3.5,YES,NO,NO,NO,YES,YES,NO,AEA Guidelines,John Innes,Stephen Maberly; Ian Jones,29%,Economics
Journal of Economic Methodology,1350-178X,Routledge,Hybrid OA,YES,England,"Economic methodology, applied economics",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Economics
Journal of Economic Perspectives,0895-3309,Amer. Economic Assoc.,Hybrid OA,YES,United States,"Economic perspectives, applied economics",YES,APC,3000,262500,30.0,3.6,YES,NO,NO,NO,YES,YES,NO,AEA Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,29%,Economics
Journal of Economic Policy Reform,1748-7870,Routledge,Hybrid OA,YES,England,"Economic policy reform, applied economics",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Economics / Policy
Journal of Economic Psychology,0167-4870,Elsevier,Hybrid OA,YES,Netherlands,"Economic psychology, applied economics, behavioral science",YES,APC,2400,210000,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Economics / Psychology
Journal of Economic Surveys,0950-0804,Wiley,Hybrid OA,YES,England,"Economic surveys, applied economics",YES,APC,3900,341250,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Wiley Author Guidelines,John Innes,Stephen Maberly; Ian Jones,29%,Economics
Journal of Economic Theory,0022-0531,Academic Press (Elsevier),Hybrid OA,YES,United States,"Economic theory, applied economics",YES,APC,2400,210000,30.0,2.8,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,29%,Economics
Journal of Economics,0931-8658,Springer Wien,Hybrid OA,YES,Austria,"Economics, applied social sciences",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Economics
Journal of Economics & Management Strategy,1058-6407,Wiley,Hybrid OA,YES,United States,"Economics, management strategy, applied business",YES,APC,3900,341250,30.0,2.3,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Business / Economics
Journal of ECT,1095-0680,LWW,Hybrid OA,YES,United States,"Electroconvulsive therapy, applied medicine",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,LWW Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Psychiatry
Journal of Education for Teaching,0260-7476,Routledge,Hybrid OA,YES,England,"Education for teaching, pedagogy, applied social sciences",YES,APC,3000,262500,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Education
Journal of Education Policy,0268-0939,Routledge,Hybrid OA,YES,England,"Education policy, applied social sciences",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Education / Policy
Journal of Educational and Behavioral Statistics,1076-9986,SAGE,Hybrid OA,YES,United States,"Educational statistics, behavioral statistics, applied education",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Education / Statistics
Journal of Educational and Psychological Consultation,1047-4412,Routledge,Hybrid OA,YES,United States,"Educational consultation, psychological consultation, applied social sciences",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Education / Psychology
Journal of Educational Computing Research,0735-6331,SAGE,Hybrid OA,YES,United States,"Educational computing, applied IT, pedagogy",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,27%,Education / IT
Journal of Educational Measurement,0022-0655,Wiley,Hybrid OA,YES,United States,"Educational measurement, applied education, statistics",YES,APC,3900,341250,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Education / Statistics
Journal of Educational Psychology,0022-0663,APA,Hybrid OA,YES,United States,"Educational psychology, applied psychology, pedagogy",YES,APC,3000,262500,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,APA Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,28%,Psychology / Education
Journal of Educational Research,0022-0671,Routledge,Hybrid OA,YES,United States,"Educational research, pedagogy, applied social sciences",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Education
Journal of Elasticity,0374-3535,Springer,Hybrid OA,YES,Netherlands,"Elasticity, applied mathematics, engineering",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Mathematics / Engineering
Journal of Elastomers and Plastics,0095-2443,SAGE,Hybrid OA,YES,England,"Elastomers, plastics, applied materials science",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,27%,Materials / Engineering
Journal of Elder Abuse & Neglect,0894-6566,Routledge,Hybrid OA,YES,England,"Elder abuse, neglect, applied social sciences",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Social Sciences / Policy
Journal of Electrical Engineering & Technology,1975-0102,Springer,Hybrid OA,YES,South Korea,"Electrical engineering, applied sciences",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,28%,Engineering / Electrical
Journal of Electrical Engineering-Elektrotechnicky Casopis,1335-3632,Slovak Univ. Technology,NO APC,YES,Slovakia,"Electrical engineering, applied sciences",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,SUT Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Engineering / Electrical
Journal of Electroanalytical Chemistry,1572-6657,Elsevier,Hybrid OA,YES,Switzerland,"Electroanalytical chemistry, applied chemistry",YES,APC,2400,210000,30.0,2.3,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Chemistry
Journal of Electrocardiology,0022-0736,Churchill Livingstone,Hybrid OA,YES,United States,"Electrocardiology, applied medicine",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,CL Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Cardiology
Journal of Electroceramics,1385-3449,Springer,Hybrid OA,YES,Netherlands,"Electroceramics, applied materials science",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,27%,Materials / Engineering
Journal of Electrochemical Energy Conversion and Storage,2381-6872,ASME,Hybrid OA,YES,United States,"Electrochemical energy, applied engineering",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,ASME Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Engineering / Energy
Journal of Electrochemical Science and Technology,2093-8551,Korean Electrochemistry Soc.,Hybrid OA,YES,South Korea,"Electrochemical science, applied chemistry",YES,APC,2000,175000,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,KES Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,27%,Chemistry
Journal of Electromagnetic Waves and Applications,0920-5071,Taylor & Francis,Hybrid OA,YES,Netherlands,"Electromagnetic waves, applied physics, engineering",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,T&F Author Guidelines,Stephen Cook,Moshe Vardi; Neil Immerman,28%,Physics / Engineering
Journal of Electromyography and Kinesiology,1050-6411,Elsevier,Hybrid OA,YES,England,"Electromyography, kinesiology, applied medicine",YES,APC,2400,210000,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Medicine / Sports Science
Journal of Electron Spectroscopy and Related Phenomena,0368-2048,Elsevier,Hybrid OA,YES,Netherlands,"Electron spectroscopy, applied physics",YES,APC,2400,210000,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Physics
Journal of Electronic Commerce Research,1526-6133,California State Univ.,NO APC,YES,United States,"Electronic commerce, applied IT, business",NO,NO APC,0,0,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,CSU Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,27%,Computer Science / Business
Journal of Electronic Imaging,1017-9909,IS&T & SPIE,Hybrid OA,YES,United States,"Electronic imaging, applied IT, optics",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,IS&T Guidelines,Stephen Cook,Moshe Vardi; Neil Immerman,28%,Computer Science / Imaging
Journal of Electronic Materials,0361-5235,Springer,Hybrid OA,YES,United States,"Electronic materials, applied engineering",YES,APC,3000,262500,30.0,2.3,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,28%,Engineering / Materials
Journal of Electronic Packaging,1043-7398,ASME,Hybrid OA,YES,United States,"Electronic packaging, applied engineering",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,ASME Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Engineering / Electronics
Journal of Electronic Testing-Theory and Applications,0923-8174,Springer,Hybrid OA,YES,United States,"Electronic testing, applied engineering",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Stephen Cook,Moshe Vardi; Neil Immerman,28%,Engineering / Electronics
Journal of Electrostatics,0304-3886,Elsevier,Hybrid OA,YES,Netherlands,"Electrostatics, applied physics, engineering",YES,APC,2400,210000,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Physics / Engineering
Journal of Elementology,1644-2296,Polish Society Magnesium Research,NO APC,YES,Poland,"Elementology, applied biology, agriculture",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,PSMR Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Biology / Agriculture
Journal of Emergency Medicine,0736-4679,Elsevier,Hybrid OA,YES,United States,"Emergency medicine, applied clinical sciences",YES,APC,2400,210000,30.0,2,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Emergency
Journal of Emergency Nursing,0099-1767,Elsevier,Hybrid OA,YES,United States,"Emergency nursing, applied medicine",YES,APC,2400,210000,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Medicine / Nursing
Journal of Emotional and Behavioral Disorders,1063-4266,SAGE,Hybrid OA,YES,United States,"Emotional and behavioral disorders, applied psychology",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Mark Griffiths,Per Binde; Rachel Volberg,27%,Psychology / Education
Journal of Empirical Finance,0927-5398,Elsevier,Hybrid OA,YES,Netherlands,"Empirical finance, applied economics",YES,APC,2400,210000,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Finance / Economics
Journal of Empirical Legal Studies,1740-1453,Wiley,Hybrid OA,YES,United States,"Empirical legal studies, applied law",YES,APC,3900,341250,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Law / Social Sciences
Journal of Empirical Research on Human Research Ethics,1556-2646,SAGE,Hybrid OA,YES,United States,"Human research ethics, applied social sciences",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Ethics / Social Sciences
Journal of Employment Counseling,0022-0787,Wiley,Hybrid OA,YES,United States,"Employment counseling, applied psychology, social sciences",YES,APC,3900,341250,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Psychology / Counseling
Journal of Endocrinological Investigation,1720-8386,Springer,Hybrid OA,YES,Italy,"Endocrinology, applied medicine",YES,APC,3000,262500,30.0,2.3,YES,NO,NO,NO,YES,YES,NO,Springer Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Endocrinology
Journal of Endocrinology,0022-0795,Bioscientifica,Hybrid OA,YES,England,"Endocrinology, applied medicine",YES,APC,3000,262500,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Bioscientifica Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,28%,Medicine / Endocrinology
Journal of Endodontics,0099-2399,Elsevier,Hybrid OA,YES,United States,"Endodontics, applied dentistry, medicine",YES,APC,2400,210000,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Dentistry
Journal of Endourology,0892-7790,Mary Ann Liebert,Hybrid OA,YES,United States,"Endourology, applied medicine",YES,APC,3000,262500,30.0,2.3,YES,NO,NO,NO,YES,YES,NO,MAL Author Guidelines,Werner Mendling,Thomas LÃ¶scher; Didier Pittet,28%,Medicine / Urology
Journal of Endovascular Therapy,1526-6028,SAGE,Hybrid OA,YES,United States,"Endovascular therapy, applied medicine",YES,APC,3000,262500,30.0,2.4,YES,NO,NO,NO,YES,YES,NO,SAGE Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Surgery
Journal of Energetic Materials,0737-0652,Taylor & Francis,Hybrid OA,YES,United States,"Energetic materials, applied chemistry, engineering",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,T&F Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Chemistry / Engineering
Journal of Energy Chemistry,2095-4956,Elsevier,Hybrid OA,YES,China,"Energy chemistry, applied chemistry, materials",YES,APC,2400,210000,30.0,2.6,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,28%,Chemistry / Energy
Journal of Energy Engineering,0733-9402,ASCE,Hybrid OA,YES,United States,"Energy engineering, applied civil engineering",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,ASCE Author Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,27%,Engineering / Energy
Journal of Energy in Southern Africa,1021-447X,Univ. Cape Town,NO APC,YES,South Africa,"Energy studies, applied policy, engineering",NO,NO APC,0,0,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,UCT Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Energy / Policy
Journal of Energy Resources Technology-Transactions of the ASME,0195-0738,ASME,Hybrid OA,YES,United States,"Energy resources, applied engineering",YES,APC,3000,262500,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,ASME Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Engineering / Energy
Journal of Engineered Fibers and Fabrics,1558-9250,INDA,NO APC,YES,United States,"Engineered fibers, fabrics, applied materials",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,INDA Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Materials / Engineering
Journal of Engineering and Technology Management,0923-4748,Elsevier,Hybrid OA,YES,Netherlands,"Engineering management, technology management, applied business",YES,APC,2400,210000,30.0,2,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Business / Engineering
Journal of Engineering Design,0954-4828,Taylor & Francis,Hybrid OA,YES,England,"Engineering design, applied engineering",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,"Submit via Taylor & Francis Online; structured abstract (250–300 words); follow engineering/design formatting standards; references in T&F style; ethics compliance (conflicts, funding, approvals); double-blind peer review; figures/tables must meet journal standards; supplementary materials allowed.",Anthony Kinloch,Ken Nakajima; Peter Cann,28%,Engineering / Design
Journal of Engineering Education,1069-4730,ASEE,NO APC,YES,United States,"Engineering education, pedagogy, applied social sciences",NO,NO APC,0,0,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,ASEE Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,28%,Education / Engineering
Journal of Engineering for Gas Turbines and Power-Transactions of the ASME,0742-4795,ASME,Hybrid OA,YES,United States,"Gas turbines, power engineering, applied engineering",YES,APC,3000,262500,30.0,2.3,NO,YES,NO,NO,YES,YES,NO,ASME Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Engineering / Energy
